COD_ORACLE;UBICACION ;TIPO;DESCRIPCION ;COD_ACTIVO ;ESTADO;FABRICANTE;PAIS_ORIGEN ;AÑO_FABRICACION ;MODELO;SERIE;PESO;VOLTAJE (V);POTENCIA (KW);CONSUMO (KW);CONEXION
MQ02100;GINEBRA;PRENSA;PRENSA HERLAN 0210;121575;ACTIVO ;AFONS MALL K.G.;ALEMANIA;1959;----;----;----;440;----;----;TRAFO #1 DE 1000KVA -440VSUB ESTACIÓN #2
MQ05400;GINEBRA;PRENSA;PRENSA SCHULER 5-510 - LINEA #5;----;ACTIVO ;----;----;----;----;----;----;440;----;----;TRAFO #1 DE 1000KVA -440VSUB ESTACIÓN #2
MQ07400;GINEBRA;PRENSA;PRENSA - LINEA #7;122267;ACTIVO ;ING. MONTOLI;ITALIA;1990;DS2BFT4;----;----;440;----;----;TRAFO #1 DE 1000KVA -440VSUB ESTACIÓN #2
MQ35107;GINEBRA;TERMOFORMADORA;TERMOFORMADORA RDK 54 ESTEPA;120183;ACTIVO ;ADOLF ILLIG MASCHINENBAU GMBH & CO;ALEMANIA;1997;RDK 54;----;----;440;----;----;TRAFO #1 DE 1000KVA -440VSUB ESTACIÓN #2
MQ25010;GINEBRA;EXTRUSORA;EXTRUSORA WELEX 2501;122260;ACTIVO ;Welex Inc- Welex Blue Bell, Pa.;EEUU;1997;45 30D;6438;----;440;----;----;TRAFO #1 DE 1000KVA -440VSUB ESTACIÓN #2
MQ15020;GINEBRA;EXTRUSORA;EXTRUSORA WELEX 2502;----;ACTIVO ;Welex Inc- Welex Blue Bell, Pa.;EEUU;----;250 30:1;5850;----;440;----;----;TRAFO #1 DE 1000KVASUB ESTACIÓN #1
MQ35034;GINEBRA;EMPACADORA;EMPACADORA RENNCO #4;000695/000360;ACTIVO ;RENNCO;EEUU;----;VOYAGER;XRV1424I5653AA;----;440;----;----;TRAFO #1 DE 1000KVASUB ESTACIÓN #1
MQ35055;GINEBRA;TERMOFORMADORA;TERMOFORMADORA GABLER M92 XL # 3;121230/120754;ACTIVO ;GABLER;ALEMANIA;2011;M92XL;5306;9200;440;----;----;TRAFO #1 DE 1000KVASUB ESTACIÓN #1
MQ35040;GINEBRA;EMPACADORA;EMPACADORA RENNCO #3;----;ACTIVO ;RENNCO;EEUU;;INCLINE;M0005173;----;440;----;----;TRAFO #1 DE 1000KVASUB ESTACIÓN #1
MQ35029;GINEBRA;TERMOFORMADORA;TERMOFORMADORA GABLER M92 XL #1+RENCO;122846/295608;ACTIVO ;GABLER;ALEMANIA;2007;M92XL;4951;9200;440;----;----;TRAFO #1 DE 1000KVASUB ESTACIÓN #1
MQ35033;GINEBRA;EMPACADORA;EMPACADORA RENNCO #2;----;ACTIVO ;RENNCO;EEUU;----;DCCONV;M8005080;----;440;----;----;TRAFO #1 DE 1000KVASUB ESTACIÓN #1
MQ25520;GINEBRA;IMPRESORA;IMPRESORA VAN DAM 580  2552;121068;ACTIVO ;VAN DAM;HOLANDA;2002;----;C-700596;----;440;----;----;TRAFO #1 DE 1000KVASUB ESTACIÓN #1
MQ35038;GINEBRA;TERMOFORMADORA;TERMOFORMADORA RDK54 #2  35038;122520;ACTIVO ;ILLIG Maschinenbau GmbH & Co.;ALEMANIA;2008;RDK 54;531-0438;----;440;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ06100;GINEBRA;PRENSA;PRENSADORA COLAPSIBLES LINEA #6;----;ACTIVO ;HERLAN;ALEMANIA;1977;----;----;----;440;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ04400;GINEBRA;PRENSA;LINEA AUT SCHULER HERLAN 4;122580;ACTIVO ;SPRIMAG;ALEMANIA;1979;----;----;----;220;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ80227;GINEBRA;TERMOFORMADORA BAJA VELOCIDAD;TERMOFORMADORA ILLIG SB 22925 (TAIWANESA);120129;ACTIVO ;TRADE MARK SUN JAU MACHINERY CO., LTD;CHINA;1930;S-133;----;----;220;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ15300;GINEBRA;TERMOFORMADORA;TERMOFORMADORA RDKP72;120251;ACTIVO ;ADOLF ILLIG MASCHINENBAU GMBH & CO;ALEMANIA;1985;RDKP 72;----;----;220;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ15310;GINEBRA;TERMOFORMADORA;TERMOFORMADORA RDKP54 1531;122730;ACTIVO ;ADOLF ILLIG MASCHINENBAU GMBH & CO;ALEMANIA;1985;RDKP 54C;----;----;220;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ35065;GINEBRA;TERMOFORMADORA;TERMOFORMADORA ILLIG RDKP72D 35065;296559;ACTIVO ;ADOLF ILLIG MASCHINENBAU GMBH & CO;ALEMANIA;1995;RDKP 72D;----;----;220;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ15270;GINEBRA;TERMOFORMADORA;TERMOFORMADORA 2513 (PLFRM)-1527;122018;ACTIVO ;ADOLF ILLIG MASCHINENBAU GMBH & CO;ALEMANIA;1995;----;----;----;220;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ25110;GINEBRA;TERMOFORMADORA;TERMOFORMADORA 50K  2511;120297/121860/122576;ACTIVO ;ADOLF ILLIG MASCHINENBAU GMBH & CO;----;1997;RDM 50K;----;----;220;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
